                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.75897,                 0.4463,                  0.968,                0.99725,                      1,                  0.995,                 0.7255,                0.96624,                0.40054,                 1.0908,               0.001307,               0.001307,               0.001307
                     37,                0.77073,                0.45349,                0.97027,                0.98996,                      1,                0.98921,                0.73899,                0.93506,                0.39467,                 1.0866,              0.0012872,              0.0012872,              0.0012872
                     38,                0.77041,                 0.4615,                0.97458,                 0.9831,                      1,                0.99492,                0.74525,                0.93738,                0.42959,                 1.0672,              0.0012674,              0.0012674,              0.0012674
                     39,                 0.7156,                0.43616,                0.96009,                0.99071,                      1,                0.99483,                0.73439,                0.99738,                 0.4113,                 1.1252,              0.0012476,              0.0012476,              0.0012476
                     40,                0.74609,                 0.4443,                0.96451,                0.99933,                      1,                  0.995,                0.74636,                0.96027,                0.39366,                 1.0806,              0.0012278,              0.0012278,              0.0012278
                     41,                0.74163,                 0.4402,                0.96427,                 0.9976,                      1,                  0.995,                0.75318,                0.94778,                0.37975,                 1.0914,               0.001208,               0.001208,               0.001208
                     42,                0.73124,                0.43051,                0.95712,                0.99539,                      1,                  0.995,                0.76842,                0.91481,                0.36682,                 1.0805,              0.0011882,              0.0011882,              0.0011882
                     43,                0.72353,                0.42796,                0.96345,                0.99434,                      1,                  0.995,                0.76368,                0.95082,                0.39195,                 1.0806,              0.0011684,              0.0011684,              0.0011684
                     44,                0.71823,                0.42267,                0.95202,                0.99173,                0.99943,                0.99475,                0.74998,                0.97259,                0.39502,                 1.0876,              0.0011486,              0.0011486,              0.0011486
                     45,                0.72074,                0.41972,                 0.9509,                0.99173,                0.99878,                  0.995,                0.73757,                0.93878,                0.40111,                 1.0927,              0.0011288,              0.0011288,              0.0011288
                     46,                0.69529,                0.41054,                0.94351,                0.99034,                0.99167,                  0.995,                 0.7414,                0.90594,                 0.3959,                 1.0724,               0.001109,               0.001109,               0.001109
                     47,                0.69092,                0.41914,                0.93464,                0.99909,                      1,                  0.995,                0.75363,                0.96795,                0.38466,                  1.095,              0.0010892,              0.0010892,              0.0010892
                     48,                0.68719,                0.40463,                0.94054,                0.99117,                      1,                  0.995,                0.74206,                0.96375,                0.39155,                  1.091,              0.0010694,              0.0010694,              0.0010694
                     49,                0.68286,                0.40364,                0.93066,                0.99744,                0.99167,                  0.995,                0.73677,                0.95359,                0.39277,                 1.0921,              0.0010496,              0.0010496,              0.0010496
                     50,                0.64469,                0.38155,                0.92041,                      1,                0.99688,                  0.995,                0.73227,                0.96049,                0.37749,                 1.0945,              0.0010298,              0.0010298,              0.0010298
                     51,                0.66734,                0.39714,                0.93631,                0.99899,                      1,                  0.995,                0.76925,                0.92346,                0.37049,                 1.0805,                0.00101,                0.00101,                0.00101
                     52,                0.66215,                0.39143,                0.91567,                0.99115,                      1,                  0.995,                0.73596,                0.99237,                 0.3968,                 1.1052,              0.0009902,              0.0009902,              0.0009902
                     53,                0.63887,                0.38094,                0.92443,                0.99111,                0.99167,                  0.995,                 0.7396,                0.96282,                 0.3721,                 1.1094,              0.0009704,              0.0009704,              0.0009704
                     54,                0.64757,                0.38966,                0.93697,                0.99859,                      1,                  0.995,                0.74269,                0.96373,                0.40345,                 1.1053,              0.0009506,              0.0009506,              0.0009506
                     55,                 0.6497,                0.40174,                0.92856,                0.99838,                0.99167,                  0.995,                0.73335,                 1.0118,                0.37412,                 1.1157,              0.0009308,              0.0009308,              0.0009308
                     56,                0.62549,                0.37495,                 0.9365,                0.99911,                      1,                  0.995,                0.75075,                0.95109,                0.36634,                  1.101,               0.000911,               0.000911,               0.000911
                     57,                0.62431,                0.36493,                 0.9247,                0.99026,                      1,                0.99483,                0.74907,                0.94477,                0.37175,                 1.1031,              0.0008912,              0.0008912,              0.0008912
                     58,                0.59188,                0.36855,                 0.9108,                0.99712,                      1,                  0.995,                0.74361,                0.97386,                0.37169,                 1.1063,              0.0008714,              0.0008714,              0.0008714
                     59,                0.61819,                0.38535,                0.92138,                0.99964,                      1,                  0.995,                0.75016,                0.93652,                0.36609,                 1.1013,              0.0008516,              0.0008516,              0.0008516
                     60,                0.58762,                0.36691,                0.91509,                0.98826,                      1,                  0.995,                0.72606,                0.94539,                0.39705,                 1.1162,              0.0008318,              0.0008318,              0.0008318
                     61,                0.58678,                0.36487,                0.91272,                      1,                0.99873,                  0.995,                0.74677,                0.94292,                0.35623,                 1.0973,               0.000812,               0.000812,               0.000812
                     62,                0.58104,                0.36021,                0.91066,                      1,                0.99989,                  0.995,                 0.7557,                0.92454,                0.35155,                 1.0963,              0.0007922,              0.0007922,              0.0007922
                     63,                0.56588,                0.35936,                 0.9108,                0.99965,                      1,                  0.995,                0.75615,                0.94075,                0.34411,                 1.0881,              0.0007724,              0.0007724,              0.0007724
                     64,                0.57478,                0.35366,                0.92163,                      1,                 0.9999,                  0.995,                 0.7472,                0.95616,                0.36872,                 1.1064,              0.0007526,              0.0007526,              0.0007526
                     65,                0.58166,                0.35394,                0.91461,                0.99173,                0.99915,                  0.995,                0.74433,                0.96187,                 0.3818,                 1.1139,              0.0007328,              0.0007328,              0.0007328
                     66,                0.56894,                0.33996,                  0.904,                0.99939,                0.99167,                  0.995,                0.75391,                0.95525,                0.36851,                 1.1117,               0.000713,               0.000713,               0.000713
                     67,                0.58155,                0.33974,                0.90556,                0.99871,                0.99167,                  0.995,                0.71053,                 1.0507,                0.39306,                  1.171,              0.0006932,              0.0006932,              0.0006932
                     68,                0.56697,                0.34093,                0.90188,                 0.9971,                0.99167,                  0.995,                0.73286,                 0.9796,                0.39116,                 1.1348,              0.0006734,              0.0006734,              0.0006734
                     69,                0.54041,                0.33639,                 0.9051,                0.99173,                0.99972,                  0.995,                0.75277,                 0.9296,                0.36523,                 1.1054,              0.0006536,              0.0006536,              0.0006536
                     70,                0.54496,                0.33697,                0.89882,                0.99167,                0.99167,                  0.995,                0.73619,                0.93828,                0.36769,                 1.1093,              0.0006338,              0.0006338,              0.0006338
                     71,                 0.5462,                0.33672,                0.89297,                      1,                0.99946,                  0.995,                0.76719,                0.91282,                0.37121,                 1.0904,               0.000614,               0.000614,               0.000614
                     72,                0.53498,                0.32686,                0.89285,                0.99902,                0.99167,                  0.995,                0.75198,                0.93668,                0.37823,                 1.1038,              0.0005942,              0.0005942,              0.0005942
                     73,                0.53086,                0.31874,                0.88472,                      1,                0.99906,                  0.995,                0.75083,                0.94246,                0.35907,                 1.1228,              0.0005744,              0.0005744,              0.0005744
                     74,                 0.4999,                0.30839,                0.89464,                      1,                0.99961,                  0.995,                0.75492,                0.92905,                0.35295,                 1.1115,              0.0005546,              0.0005546,              0.0005546
                     75,                0.51785,                0.31889,                0.88595,                      1,                0.99993,                  0.995,                0.74642,                 0.9716,                0.34598,                 1.1385,              0.0005348,              0.0005348,              0.0005348
                     76,                0.53646,                0.33236,                0.91007,                0.99985,                      1,                  0.995,                0.74927,                0.94946,                0.34997,                 1.1193,               0.000515,               0.000515,               0.000515
                     77,                0.49737,                0.30809,                0.88042,                0.99993,                      1,                  0.995,                  0.736,                0.97075,                0.35845,                 1.1389,              0.0004952,              0.0004952,              0.0004952
                     78,                0.49166,                0.30372,                0.88549,                0.99995,                      1,                  0.995,                0.75894,                0.91221,                0.34212,                  1.116,              0.0004754,              0.0004754,              0.0004754
                     79,                0.49365,                0.30601,                0.88278,                0.99941,                      1,                  0.995,                0.75238,                0.96137,                0.35546,                 1.1266,              0.0004556,              0.0004556,              0.0004556
                     80,                0.48347,                0.29822,                0.87522,                0.99939,                      1,                  0.995,                0.73384,                 0.9635,                0.36652,                 1.1196,              0.0004358,              0.0004358,              0.0004358
                     81,                0.50519,                 0.3084,                0.87397,                0.99902,                      1,                  0.995,                0.74514,                0.93293,                0.33701,                 1.1272,               0.000416,               0.000416,               0.000416
                     82,                0.45505,                0.28803,                0.86886,                0.99892,                      1,                  0.995,                0.74335,                0.94823,                 0.3607,                 1.1161,              0.0003962,              0.0003962,              0.0003962
